source_system,supplier_name,supplier_name_clean,supplier_name_normalized,email_clean,email_is_valid,phone_digits,phone_is_valid,category_standardized,order_date,delivery_date,order_status_clean,quantity_ordered,negotiated_price_amount,annual_spend_amount,defective_units_count,compliance_status_clean,risk_signal,completeness_score
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2022-04-14,2022-04-22,Delivered,291.0,87.02,25322.82,9.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2023-01-25,2023-02-08,Cancelled,826.0,57.18,47230.68,18.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Electronics,2023-10-13,2023-10-28,Delivered,947.0,54.25,51374.75,19.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2022-06-16,,Partially Delivered,141.0,58.32,8223.12,,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2023-01-15,2023-02-04,Delivered,1440.0,83.87,120772.8,36.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2022-08-03,,Delivered,1528.0,33.0,50424.0,31.0,No,high,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Packaging,2022-09-08,,Delivered,1071.0,93.91,100577.61,25.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Electronics,2022-10-04,2022-10-09,Partially Delivered,1845.0,37.63,69427.35,45.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2022-02-27,2022-02-22,Delivered,211.0,65.4,13799.400000000001,2.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2022-08-23,,Delivered,251.0,64.48,16184.480000000001,2.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2023-04-15,2023-05-01,Delivered,769.0,86.55,66556.95,17.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Packaging,2022-05-27,,Delivered,1822.0,47.49,86526.78,39.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Packaging,2022-09-10,2022-09-21,Partially Delivered,1126.0,14.97,16856.22,27.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Raw Materials,2022-09-27,2022-10-15,Delivered,266.0,101.44,26983.04,6.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Raw Materials,2023-08-22,2023-08-25,Cancelled,813.0,107.39,87308.07,14.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2023-08-21,2023-09-03,Cancelled,429.0,75.09,32213.61,9.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2022-08-13,2022-08-15,Delivered,1230.0,30.85,37945.5,26.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2023-06-06,2023-06-22,Delivered,1886.0,23.18,43717.479999999996,,Yes,low,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Raw Materials,2023-10-05,2023-10-11,Delivered,1202.0,44.13,53044.26,21.0,No,high,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Raw Materials,2022-10-01,2022-10-11,Delivered,184.0,10.51,1933.84,4.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2023-04-10,2023-04-21,Delivered,552.0,56.78,31342.56,10.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Electronics,2022-01-01,2022-01-12,Delivered,552.0,18.79,10372.08,13.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Raw Materials,2022-03-22,2022-04-03,Delivered,1764.0,24.52,43253.28,46.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Packaging,2022-03-12,2022-03-18,Cancelled,792.0,17.25,13662.0,17.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2022-05-12,2022-05-20,Delivered,1070.0,26.63,28494.1,24.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Electronics,2022-09-29,2022-10-14,Delivered,1480.0,75.48,111710.40000000001,100.0,Yes,high,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2023-06-25,,Delivered,280.0,62.38,17466.4,100.0,Yes,high,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Packaging,2023-02-13,2023-03-04,Delivered,1772.0,27.76,49190.72,46.0,No,high,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2023-01-18,2023-01-31,Delivered,1869.0,67.5,126157.5,31.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2022-08-23,,Delivered,1298.0,20.83,27037.339999999997,,Yes,low,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Raw Materials,2022-10-13,,Delivered,1818.0,57.13,103862.34000000001,41.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Packaging,2023-07-07,2023-07-19,Delivered,1529.0,22.44,34310.76,30.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2023-07-04,2023-07-08,Delivered,1698.0,100.69,170971.62,28.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2022-05-24,2022-05-27,Delivered,1154.0,54.11,62442.94,25.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Packaging,2023-03-09,2023-03-29,Cancelled,748.0,32.71,24467.08,,No,high,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2022-07-07,,Delivered,162.0,78.76,12759.12,2.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Packaging,2022-10-13,2022-10-24,Delivered,51.0,24.13,1230.6299999999999,0.0,Yes,low,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Raw Materials,2023-03-30,2023-04-06,Delivered,904.0,30.06,27174.239999999998,26.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Packaging,2022-04-11,2022-04-16,Delivered,1298.0,58.95,76517.1,,Yes,low,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Electronics,2022-04-06,2022-04-07,Delivered,1126.0,52.22,58799.72,,Yes,low,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2023-05-08,2023-05-22,Partially Delivered,1489.0,93.3,138923.69999999998,,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2022-08-07,2022-08-10,Delivered,296.0,35.25,10434.0,,Yes,low,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Electronics,2023-01-24,,Cancelled,1257.0,81.89,102935.73,30.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Packaging,2022-01-03,2022-01-20,Delivered,172.0,55.92,9618.24,4.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Electronics,2023-03-10,2023-03-25,Delivered,1910.0,85.8,163878.0,,Yes,low,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2023-05-14,2023-06-02,Delivered,1031.0,98.65,101708.15000000001,,Yes,low,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Packaging,2022-06-08,2022-06-19,Delivered,1980.0,24.16,47836.8,41.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2023-08-22,2023-09-03,Delivered,1844.0,73.05,134704.19999999998,,Yes,low,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2022-07-10,2022-07-14,Delivered,1221.0,46.18,56385.78,29.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Packaging,2022-03-12,2022-03-26,Delivered,913.0,36.2,33050.600000000006,,Yes,low,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Packaging,2023-09-02,2023-09-04,Delivered,1784.0,76.69,136814.96,37.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Electronics,2023-08-07,2023-08-25,Pending,387.0,85.54,33103.98,5.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2022-09-10,2022-09-19,Pending,921.0,59.13,54458.73,22.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2023-09-01,2023-09-21,Cancelled,1852.0,94.89,175736.28,36.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2023-11-05,,Delivered,1684.0,62.53,105300.52,,Yes,low,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Packaging,2023-08-02,2023-08-21,Cancelled,1837.0,86.51,158918.87,39.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Electronics,2022-11-18,2022-11-29,Delivered,930.0,11.95,11113.5,16.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2022-09-02,2022-09-21,Delivered,51.0,56.1,2861.1,0.0,Yes,low,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Raw Materials,2023-11-19,2023-12-03,Delivered,1725.0,79.62,137344.5,24.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Packaging,2023-04-14,2023-04-18,Delivered,1233.0,20.57,25362.81,,Yes,low,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Packaging,2023-09-29,,Delivered,1732.0,71.71,124201.71999999999,24.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2022-09-08,,Pending,636.0,49.23,31310.28,18.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Packaging,2022-06-11,2022-06-25,Delivered,1495.0,58.18,86979.1,26.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Packaging,2023-03-25,2023-04-07,Cancelled,153.0,52.0,7956.0,3.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2022-11-06,2022-11-18,Delivered,1300.0,90.63,117819.0,,Yes,low,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2022-11-03,2022-11-07,Delivered,963.0,64.07,61699.409999999996,20.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2022-08-04,2022-08-15,Partially Delivered,850.0,88.41,75148.5,24.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2023-10-12,2023-10-29,Delivered,1989.0,15.89,31605.210000000003,57.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2022-09-28,2022-10-13,Delivered,1577.0,39.58,62417.659999999996,32.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2022-10-11,2022-10-22,Delivered,737.0,42.58,31381.46,21.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Raw Materials,2022-02-15,2022-03-04,Delivered,509.0,74.72,38032.479999999996,7.0,No,high,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Electronics,2022-01-04,2022-01-06,Delivered,1004.0,46.59,46776.36,27.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2022-06-15,,Delivered,799.0,49.51,39558.49,18.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Raw Materials,2023-07-19,2023-07-31,Delivered,87.0,85.56,7443.72,1.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Packaging,2022-06-02,2022-06-13,Partially Delivered,275.0,20.44,5621.0,,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Packaging,2023-07-13,2023-07-18,Delivered,1350.0,48.07,64894.5,,Yes,low,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2022-02-06,,Delivered,847.0,17.39,14729.33,,Yes,low,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Electronics,2023-07-20,2023-08-02,Cancelled,928.0,67.26,62417.280000000006,20.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2022-11-12,2022-11-18,Pending,1902.0,25.83,49128.659999999996,41.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2022-08-04,2022-08-14,Delivered,596.0,61.88,36880.48,9.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2022-01-26,2022-02-03,Pending,1818.0,58.98,107225.64,,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2022-06-13,2022-06-19,Delivered,656.0,26.26,17226.56,17.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Packaging,2022-12-25,2023-01-11,Delivered,1234.0,17.66,21792.44,25.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Raw Materials,2022-08-17,2022-08-29,Delivered,177.0,87.71,15524.669999999998,7.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Raw Materials,2023-09-13,2023-09-19,Partially Delivered,587.0,95.35,55970.45,14.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2022-02-15,2022-02-27,Delivered,1579.0,50.95,80450.05,29.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2023-07-06,2023-07-18,Delivered,69.0,105.53,7281.57,,Yes,low,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Raw Materials,2022-11-18,,Delivered,1165.0,63.93,74478.45,,Yes,low,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Packaging,2023-12-15,2023-12-31,Partially Delivered,1263.0,27.1,34227.3,26.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2022-07-16,2022-07-22,Delivered,619.0,51.04,31593.76,,Yes,low,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2023-03-07,2023-03-18,Delivered,1415.0,13.56,19187.4,30.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2023-09-23,2023-09-25,Delivered,1856.0,32.41,60152.95999999999,26.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Raw Materials,2022-01-01,2022-01-07,Delivered,1042.0,35.78,37282.76,33.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Raw Materials,2022-11-08,,Delivered,313.0,57.74,18072.62,1.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2022-10-21,2022-11-10,Delivered,1126.0,50.38,56727.880000000005,,Yes,low,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2022-10-18,,Delivered,705.0,69.55,49032.75,19.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2023-11-11,2023-11-16,Pending,419.0,32.74,13718.060000000001,7.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Raw Materials,2022-12-10,,Delivered,1743.0,65.88,114828.84,40.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2022-04-06,2022-04-17,Delivered,1732.0,34.18,59199.76,40.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Electronics,2023-09-18,2023-09-21,Delivered,1903.0,82.33,156673.99,43.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2023-10-07,2023-10-21,Delivered,1981.0,94.39,186986.59,49.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2022-07-19,2022-07-30,Delivered,1714.0,55.09,94424.26000000001,42.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2023-12-15,2023-12-30,Delivered,1131.0,31.28,35377.68,23.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2023-01-29,2023-02-15,Delivered,683.0,101.34,69215.22,,Yes,low,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Electronics,2023-02-14,2023-02-20,Delivered,1824.0,14.11,25736.64,36.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Electronics,2023-04-13,2023-05-02,Delivered,910.0,14.07,12803.7,27.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2022-11-21,2022-11-24,Delivered,1159.0,71.69,83088.70999999999,14.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Electronics,2023-03-13,2023-03-24,Delivered,1142.0,74.28,84827.76,30.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2023-04-02,2023-04-14,Delivered,1058.0,62.04,65638.31999999999,,Yes,low,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Packaging,2022-10-11,2022-10-24,Delivered,961.0,88.49,85038.89,22.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2022-08-29,2022-09-06,Pending,406.0,89.13,36186.78,,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Electronics,2023-01-28,2023-02-15,Delivered,1296.0,33.42,43312.32,33.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Electronics,2023-12-25,2024-01-12,Delivered,1732.0,14.7,25460.399999999998,38.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Raw Materials,2023-03-01,2023-03-05,Partially Delivered,818.0,47.85,39141.3,12.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2023-05-15,2023-05-21,Cancelled,1908.0,15.31,29211.48,36.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2022-10-07,2022-10-20,Delivered,1490.0,81.68,121703.20000000001,29.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2022-01-28,2022-02-15,Delivered,84.0,15.55,1306.2,0.0,Yes,low,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2023-08-30,2023-09-08,Delivered,898.0,35.54,31914.92,18.0,No,high,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2022-01-28,2022-02-07,Delivered,654.0,90.31,59062.74,10.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Packaging,2022-08-05,,Partially Delivered,1574.0,15.85,24947.899999999998,31.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Electronics,2022-12-01,2022-12-17,Delivered,1566.0,71.27,111608.81999999999,27.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Office Supplies,2022-09-16,2022-09-18,Delivered,778.0,62.08,48298.24,,No,high,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Electronics,2022-02-23,2022-02-28,Delivered,1467.0,30.5,44743.5,25.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2023-10-28,2023-11-13,Delivered,969.0,75.64,73295.16,30.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Raw Materials,2022-02-01,,Pending,1172.0,81.43,95435.96,25.0,Yes,medium,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,Packaging,2022-07-24,2022-07-26,Delivered,1027.0,65.42,67186.34,24.0,No,high,1.0
kaggle_procurement_kpi,Alpha_Inc,Alpha Inc,ALPHA,,,,,"Maintenance, Repair, and Operations",2023-12-18,2024-01-05,Cancelled,328.0,82.63,27102.64,6.0,Yes,medium,1.0
